date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:39	249/249	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:25%20GMT	http://www.fcibank.com.pk/Reports/FCIBL-ANNUAL-ACCOUNTS-2022.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIBL-ANNUAL-ACCOUNTS-2022.60.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:21:42	252/252	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:28%20GMT	http://www.fcibank.com.pk/Reports/FCIB-HalfYearly-December-2021.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIB-HalfYearly-December-2021.62.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:21:42	767975/767975	---M--	200	added ('OK')	application/pdf	etag:%22222f89-bb7e7-54943a55393fd%22	https://www.fcibank.com.pk/FCIBL-CF-MutualFund.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/FCIBL-CF-MutualFund.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={AFE058C6-4C41-5D40-844B-EEFC86B4970A})
14:21:45	267/267	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:31%20GMT	http://www.fcibank.com.pk/Reports/FCIB%20Quarterly%20Report%20September%202022.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIB%20Quarterly%20Report%20September%202022.64.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:21:48	261/261	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:34%20GMT	http://www.fcibank.com.pk/Reports/FCIB%20ANNUAL%20ACCOUNTS%20JUNE%202021.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIB%20ANNUAL%20ACCOUNTS%20JUNE%202021.66.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:21:59	1092517/1092517	---M--	200	added ('OK')	application/pdf	etag:%22240f9d-10aba5-5d911f0e42aad%22	https://www.fcibank.com.pk/Reports/FCIB-HalfYearly-December-2021.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIB-HalfYearly-December-2021.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:22:01	259/259	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:45%20GMT	http://www.fcibank.com.pk/Reports/FCIB%20Half%20yearly%20December-2020.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIB%20Half%20yearly%20December-2020.68.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:22:02	1669254/1669254	---M--	200	added ('OK')	application/pdf	etag:%22242b34-197886-5ec4d5f482f02%22	https://www.fcibank.com.pk/Reports/FCIB%20Quarterly%20Report%20September%202022.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIB%20Quarterly%20Report%20September%202022.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:22:04	249/249	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:48%20GMT	http://www.fcibank.com.pk/Reports/FCIBL-Quarterly-March-2022.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIBL-Quarterly-March-2022.6a.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
14:22:22	1221934/1221934	---M--	200	added ('OK')	application/pdf	etag:%22241afa-12a52e-5ddb27a1029d0%22	https://www.fcibank.com.pk/Reports/FCIBL-Quarterly-March-2022.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Reports/FCIBL-Quarterly-March-2022.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={425B0317-615C-FECE-42B9-A81844195479})
